year,Month,day,TASMAX,TASAVG,TASMIN,DPMAX,DPAVG,DPMIN,RHMAX,RHAVG,RHMIN,sfcWindMAX,sfcWindAVG,sfcWindMIN,PSLMAX,PSLAVG,PSLMIN,PRCPMAX,PRCPAVG,PRCPMIN,VISIB
2012,1,1,1.6668,-3.3336,-9.4452,-2.2224,-4.4448,-8.8896,100,82,64,20.92142,10.46071,0,1025.059849,1020.657544,1016.255239,-9999,0,-9999,8.85137
2012,1,2,1.6668,-5.556,-12.2232,-2.778,-7.7784,-12.2232,100,84.5,69,6.43736,3.21868,0,1026.075766,1024.551891,1023.028016,-9999,0,-9999,4.988954
2012,1,3,3.8892,-3.3336,-10.0008,-1.1112,-5.0004,-10.0008,100,85,70,11.26538,5.63269,0,1026.075766,1024.551891,1023.028016,-9999,0,-9999,3.379614
2012,1,4,-1.1112,-4.4448,-8.334,-1.1112,-5.0004,-7.7784,100,96.5,93,11.26538,5.63269,0,1026.075766,1021.673461,1017.271155,-9999,0,-9999,0.482802
2012,1,5,10.0008,1.1112,-7.2228,6.1116,-1.1112,-7.2228,100,81,62,32.1868,16.0934,0,1017.271155,1006.773351,996.2755457,-9999,0,-9999,3.21868
2012,1,6,10.5564,5.556,0,3.8892,1.6668,0,100,77,54,28.96812,16.0934,3.21868,996.2755457,992.2118793,988.1482129,-9999,0,-9999,6.43736
2012,1,7,2.778,1.1112,-1.1112,2.2224,0,-2.2224,100,93.5,87,28.96812,21.72609,14.48406,1010.159739,1001.185809,992.2118793,-9999,0,-9999,6.759228
2012,1,8,1.6668,-1.1112,-3.3336,0,-2.778,-6.1116,100,87.5,75,32.1868,17.70274,3.21868,1011.175656,1010.159739,1009.143823,-9999,0,-9999,9.334172
2012,1,9,2.778,0,-2.2224,1.1112,-0.5556,-2.778,100,90.5,81,20.92142,10.46071,0,1018.96435,1014.562045,1010.159739,-9999,0,-9999,8.207634
2012,1,10,2.778,-2.2224,-7.2228,0,-2.2224,-7.2228,100,87.5,75,17.70274,10.46071,3.21868,1023.028016,1020.996183,1018.96435,-9999,0,-9999,9.495106
2012,1,11,1.6668,-2.778,-7.2228,-1.1112,-3.8892,-7.7784,100,78,56,17.70274,10.46071,3.21868,1028.107599,1025.567808,1023.028016,-9999,0,-9999,9.173238
2012,1,12,3.8892,-2.2224,-8.334,1.1112,-2.2224,-7.7784,100,90.5,81,20.92142,10.46071,0,1027.091683,1025.059849,1023.028016,-9999,0,-9999,6.920162
2012,1,13,5.0004,-0.5556,-6.1116,1.1112,-2.2224,-6.1116,100,82.5,65,28.96812,14.48406,0,1022.0121,1018.117753,1014.223406,-9999,0,-9999,6.115492
2012,1,14,1.6668,0,-2.2224,0,-3.8892,-7.2228,93,74.5,56,35.40548,20.92142,6.43736,1015.239322,1014.223406,1013.207489,-9999,0,-9999,11.104446
2012,1,15,0,-3.3336,-6.1116,-2.778,-6.1116,-10.0008,100,77.5,55,32.1868,21.72609,11.26538,1014.223406,1013.207489,1012.191572,-9999,0,-9999,11.104446
2012,1,16,-1.1112,-3.3336,-6.1116,-3.8892,-7.7784,-10.0008,100,79.5,59,35.40548,20.92142,6.43736,1020.996183,1017.609794,1014.223406,-9999,0,-9999,11.104446
2012,1,17,0,-3.3336,-7.2228,-6.1116,-8.334,-10.0008,93,74,55,32.1868,17.70274,3.21868,1023.028016,1022.0121,1020.996183,-9999,0,-9999,10.138842
2012,1,18,0.5556,-2.2224,-5.0004,-2.2224,-6.6672,-8.8896,100,75.5,51,28.96812,16.0934,3.21868,1030.139432,1026.583724,1023.028016,-9999,0,-9999,9.816974
2012,1,19,5.0004,-0.5556,-6.1116,-2.778,-5.0004,-7.2228,100,76.5,53,17.70274,8.85137,0,1030.139432,1025.059849,1019.980266,-9999,0,-9999,8.368568
2012,1,20,5.556,1.1112,-3.3336,2.2224,-1.1112,-5.0004,100,82.5,65,17.70274,10.46071,3.21868,1019.980266,1014.054086,1008.127906,-9999,0,-9999,9.173238
2012,1,21,2.778,0,-3.3336,2.2224,-1.6668,-6.1116,100,85,70,40.2335,23.33543,6.43736,1013.207489,1009.651781,1006.096073,-9999,0,-9999,8.368568
2012,1,22,1.6668,-2.2224,-7.2228,0,-4.4448,-7.7784,100,82,64,25.74944,14.48406,3.21868,1014.223406,1012.191572,1010.159739,-9999,0,-9999,9.334172
2012,1,23,5.0004,-2.2224,-9.4452,2.2224,-2.778,-8.8896,100,87.5,75,11.26538,5.63269,0,1017.271155,1014.731364,1012.191572,-9999,0,-9999,4.82802
